Data,"Tipo Residuo","Peso"
2024-09-19,"Vidro","13300,00"
2024-09-19,"Plastico","5460,00"
2024-09-19,"Restos Comida","8500,00"
2024-09-19,"Papel","33620,00"
2024-09-19,"Cortes de Jardim","86380,00"
2024-09-19,"Monstros","23400,00"
2024-09-19,"Residuos Limpeza","8800,00"
2024-09-18,"Indiferenciado","240460,00"
2024-09-18,"Vidro","22340,00"
2024-09-18,"Cortes de Jardim","109780,00"
2024-09-18,"Restos Comida","9040,00"
2024-09-18,"Plastico","8200,00"
2024-09-18,"Monstros","26080,00"
2024-09-18,"Residuos Limpeza","12480,00"
2024-09-18,"Papel","13320,00"
2024-09-17,"Cortes de Jardim","91580,00"
2024-09-17,"Papel","6980,00"
2024-09-17,"Vidro","15180,00"
2024-09-17,"Indiferenciado","256900,00"
2024-09-17,"Residuos Limpeza","28360,00"
2024-09-17,"Plastico","36780,00"
2024-09-17,"Monstros","17980,00"
2024-09-17,"Restos Comida","8620,00"
2024-09-16,"Indiferenciado","229520,00"
2024-09-16,"Papel","33000,00"
2024-09-16,"Vidro","21840,00"
2024-09-16,"Monstros","24480,00"
2024-09-16,"Restos Comida","14380,00"
2024-09-16,"Plastico","4280,00"
2024-09-16,"Residuos Limpeza","34600,00"
2024-09-16,"Cortes de Jardim","80340,00"
2024-09-15,"Monstros","4300,00"
2024-09-15,"Indiferenciado","244560,00"
2024-09-15,"Papel","4480,00"
2024-09-15,"Residuos Limpeza","3940,00"
2024-09-14,"Papel","12740,00"
2024-09-14,"Cortes de Jardim","88580,00"
2024-09-14,"Vidro","13560,00"
2024-09-14,"Restos Comida","8000,00"
2024-09-14,"Monstros","22240,00"
2024-09-14,"Indiferenciado","249840,00"
2024-09-14,"Residuos Limpeza","32480,00"
2024-09-14,"Plastico","6900,00"
2024-09-13,"Papel","5360,00"
2024-09-13,"Cortes de Jardim","107920,00"
2024-09-13,"Monstros","19720,00"
2024-09-13,"Plastico","22660,00"
2024-09-13,"Restos Comida","8840,00"
2024-09-13,"Indiferenciado","241480,00"
2024-09-13,"Vidro","5600,00"
2024-09-13,"Residuos Limpeza","51680,00"
2024-09-12,"Monstros","20540,00"
2024-09-12,"Restos Comida","8200,00"
2024-09-12,"Papel","32860,00"
2024-09-12,"Plastico","7500,00"
2024-09-12,"Cortes de Jardim","85000,00"
2024-09-12,"Residuos Limpeza","18940,00"
2024-09-12,"Vidro","17360,00"
2024-09-12,"Indiferenciado","233520,00"
2024-09-11,"Monstros","22220,00"
2024-09-11,"Papel","16440,00"
2024-09-11,"Plastico","8040,00"
2024-09-11,"Restos Comida","7780,00"
2024-09-11,"Residuos Limpeza","26440,00"
2024-09-11,"Cortes de Jardim","90040,00"
2024-09-11,"Vidro","17460,00"
2024-09-11,"Indiferenciado","230840,00"
2024-09-10,"Plastico","34340,00"
2024-09-10,"Restos Comida","7460,00"
2024-09-10,"Residuos Limpeza","30900,00"
2024-09-10,"Papel","12280,00"
2024-09-10,"Vidro","11020,00"
2024-09-10,"Cortes de Jardim","86100,00"
2024-09-10,"Monstros","20260,00"
2024-09-10,"Indiferenciado","243000,00"
2024-09-09,"Residuos Limpeza","24740,00"
2024-09-09,"Plastico","6060,00"
2024-09-09,"Indiferenciado","221660,00"
2024-09-09,"Monstros","28720,00"
2024-09-09,"Vidro","8400,00"
2024-09-09,"Restos Comida","23180,00"
2024-09-09,"Papel","34600,00"
2024-09-09,"Cortes de Jardim","80200,00"
2024-09-08,"Indiferenciado","235100,00"
2024-09-08,"Residuos Limpeza","1640,00"
2024-09-08,"Papel","2640,00"
2024-09-07,"Indiferenciado","253260,00"
2024-09-07,"Vidro","17440,00"
2024-09-07,"Cortes de Jardim","73400,00"
2024-09-07,"Papel","13380,00"
2024-09-07,"Monstros","20900,00"
2024-09-07,"Plastico","4380,00"
2024-09-07,"Restos Comida","8080,00"
2024-09-07,"Residuos Limpeza","9720,00"
2024-09-06,"Indiferenciado","244780,00"
2024-09-06,"Vidro","7740,00"
2024-09-06,"Papel","5740,00"
2024-09-06,"Monstros","25860,00"
2024-09-06,"Restos Comida","8640,00"
2024-09-06,"Plastico","25020,00"
2024-09-06,"Residuos Limpeza","14340,00"
2024-09-06,"Cortes de Jardim","77760,00"
2024-09-05,"Cortes de Jardim","94720,00"
2024-09-05,"Vidro","7940,00"
2024-09-05,"Indiferenciado","230800,00"
2024-09-05,"Monstros","20020,00"
2024-09-05,"Plastico","8060,00"
2024-09-05,"Restos Comida","8100,00"
2024-09-05,"Papel","33940,00"
2024-09-05,"Residuos Limpeza","17340,00"
2024-09-04,"Papel","14660,00"
2024-09-04,"Cortes de Jardim","59320,00"
2024-09-04,"Vidro","27720,00"
2024-09-04,"Indiferenciado","238140,00"
2024-09-04,"Restos Comida","7420,00"
2024-09-04,"Plastico","8500,00"
2024-09-04,"Residuos Limpeza","17160,00"
2024-09-04,"Monstros","17740,00"
2024-09-03,"Indiferenciado","259260,00"
2024-09-03,"Papel","8400,00"
2024-09-03,"Restos Comida","7120,00"
2024-09-03,"Monstros","16440,00"
2024-09-03,"Residuos Limpeza","12720,00"
2024-09-03,"Plastico","37820,00"
2024-09-03,"Vidro","25440,00"
2024-09-03,"Cortes de Jardim","76820,00"
2024-09-02,"Cortes de Jardim","83360,00"
2024-09-02,"Papel","39700,00"
2024-09-02,"Monstros","29280,00"
2024-09-02,"Indiferenciado","240700,00"
2024-09-02,"Residuos Limpeza","23340,00"
2024-09-02,"Plastico","1700,00"
2024-09-02,"Restos Comida","17820,00"
2024-09-01,"Indiferenciado","230880,00"
2024-09-01,"Papel","5060,00"
2024-09-01,"Monstros","500,00"
2024-09-01,"Plastico","640,00"
2024-08-31,"Indiferenciado","242040,00"
2024-08-31,"Papel","14800,00"
2024-08-31,"Plastico","5440,00"
2024-08-31,"Restos Comida","7300,00"
2024-08-31,"Cortes de Jardim","73960,00"
2024-08-31,"Monstros","11620,00"
2024-08-31,"Vidro","15320,00"
2024-08-31,"Residuos Limpeza","7300,00"
2024-08-30,"Residuos Limpeza","18400,00"
2024-08-30,"Plastico","22620,00"
2024-08-30,"Restos Comida","373160,00"
2024-08-30,"Papel","8780,00"
2024-08-30,"Monstros","16500,00"
2024-08-30,"Cortes de Jardim","68760,00"
2024-08-30,"Indiferenciado","-121060,00"
2024-08-30,"Vidro","12780,00"
2024-08-29,"Restos Comida","7720,00"
2024-08-29,"Residuos Limpeza","32320,00"
2024-08-29,"Plastico","6460,00"
2024-08-29,"Indiferenciado","229980,00"
2024-08-29,"Cortes de Jardim","86020,00"
2024-08-29,"Monstros","19220,00"
2024-08-29,"Vidro","13160,00"
2024-08-29,"Papel","30260,00"
2024-08-28,"Restos Comida","8300,00"
2024-08-28,"Plastico","15900,00"
2024-08-28,"Residuos Limpeza","47760,00"
2024-08-28,"Indiferenciado","232900,00"
2024-08-28,"Papel","14400,00"
2024-08-28,"Cortes de Jardim","76920,00"
2024-08-28,"Vidro","9460,00"
2024-08-28,"Monstros","17040,00"
2024-08-27,"Indiferenciado","258080,00"
2024-08-27,"Residuos Limpeza","61920,00"
2024-08-27,"Restos Comida","9080,00"
2024-08-27,"Papel","3880,00"
2024-08-27,"Plastico","28020,00"
2024-08-27,"Cortes de Jardim","108320,00"
2024-08-27,"Vidro","13220,00"
2024-08-27,"Monstros","17540,00"
2024-08-26,"Indiferenciado","233900,00"
2024-08-26,"Residuos Limpeza","940,00"
2024-08-26,"Cortes de Jardim","99960,00"
2024-08-26,"Papel","33860,00"
2024-08-26,"Vidro","8980,00"
2024-08-26,"Restos Comida","13300,00"
2024-08-26,"Monstros","35960,00"
2024-08-26,"Plastico","3380,00"
2024-08-25,"Indiferenciado","223080,00"
2024-08-25,"Papel","8560,00"
2024-08-25,"Monstros","600,00"
2024-08-25,"Residuos Limpeza","880,00"
2024-08-24,"Indiferenciado","236600,00"
2024-08-24,"Vidro","32600,00"
2024-08-24,"Restos Comida","7960,00"
2024-08-24,"Plastico","10880,00"
2024-08-24,"Papel","11140,00"
2024-08-24,"Cortes de Jardim","68180,00"
2024-08-24,"Monstros","14200,00"
2024-08-24,"Residuos Limpeza","11960,00"
2024-08-23,"Indiferenciado","244820,00"
2024-08-23,"Vidro","9140,00"
2024-08-23,"Cortes de Jardim","90240,00"
2024-08-23,"Monstros","20360,00"
2024-08-23,"Restos Comida","9380,00"
2024-08-23,"Papel","4560,00"
2024-08-23,"Plastico","22480,00"
2024-08-23,"Residuos Limpeza","8140,00"
2024-08-22,"Indiferenciado","246880,00"
2024-08-22,"Papel","33280,00"
2024-08-22,"Cortes de Jardim","99520,00"
2024-08-22,"Restos Comida","8500,00"
2024-08-22,"Residuos Limpeza","11920,00"
2024-08-22,"Monstros","22860,00"
2024-08-22,"Vidro","8840,00"
2024-08-22,"Plastico","6040,00"
2024-08-21,"Restos Comida","8240,00"
2024-08-21,"Papel","15060,00"
2024-08-21,"Vidro","36360,00"
2024-08-21,"Monstros","23160,00"
2024-08-21,"Indiferenciado","253080,00"
2024-08-21,"Residuos Limpeza","52980,00"
2024-08-21,"Plastico","5720,00"
2024-08-21,"Cortes de Jardim","69720,00"
2024-08-20,"Cortes de Jardim","86260,00"
2024-08-20,"Monstros","29060,00"
2024-08-20,"Papel","4760,00"
2024-08-20,"Restos Comida","8420,00"
2024-08-20,"Vidro","14340,00"
2024-08-20,"Indiferenciado","226020,00"
2024-08-20,"Óleo","360,00"
2024-08-20,"Plastico","36460,00"
2024-08-20,"Residuos Limpeza","16940,00"
2024-08-19,"Papel","35740,00"
2024-08-19,"Cortes de Jardim","61440,00"
2024-08-19,"Restos Comida","12140,00"
2024-08-19,"Plastico","6040,00"
2024-08-19,"Monstros","20840,00"
2024-08-19,"Indiferenciado","237540,00"
2024-08-19,"Óleo","580,00"
2024-08-19,"Vidro","10540,00"
2024-08-19,"Residuos Limpeza","31760,00"
2024-08-18,"Papel","3620,00"
2024-08-18,"Monstros","220,00"
2024-08-18,"Indiferenciado","215360,00"
2024-08-17,"Plastico","4840,00"
2024-08-17,"Restos Comida","9500,00"
